channel,temperature,mean,std deviation
2,25,25.09
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.11
2,25,25.11
2,25,25.11
2,25,25.11
2,25,25.11
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.09
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,25,25.1
2,30,30.09
2,30,30.09
2,30,30.09
2,30,30.09
2,30,30.09
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.08
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
2,30,30.07
3,20,20.16
3,20,20.16
3,20,20.15
3,20,20.15
3,20,20.15
3,20,20.14
3,20,20.14
3,20,20.14
3,20,20.14
3,20,20.14
3,20,20.13
3,20,20.13
3,20,20.13
3,20,20.13
3,20,20.13
3,20,20.13
3,20,20.13
3,20,20.12
3,20,20.12
3,20,20.12
3,20,20.12
3,20,20.12
3,20,20.11
3,20,20.11
3,20,20.11
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.1
3,20,20.09
3,20,20.09
3,20,20.09
3,20,20.09
3,20,20.09
3,20,20.08
3,20,20.08
3,20,20.08
3,20,20.08
3,20,20.08
3,20,20.09
3,20,20.09
3,20,20.09
3,25,25.1
3,25,25.1
3,25,25.1
3,25,25.1
3,25,25.09
3,25,25.09
3,25,25.09
3,25,25.09
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.07
3,25,25.06
3,25,25.06
3,25,25.06
3,25,25.06
3,25,25.06
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,25,25.08
3,30,30.15
3,30,30.15
3,30,30.15
3,30,30.15
3,30,30.15
3,30,30.15
3,30,30.15
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.14
3,30,30.13
3,30,30.13
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.12
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.11
3,30,30.1
3,30,30.1
3,30,30.1
3,30,30.1
3,30,30.1
3,30,30.1
4,20,20.1
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.1
4,20,20.1
4,20,20.1
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.08
4,20,20.09
4,20,20.09
4,20,20.09
4,20,20.1
4,20,20.1
4,20,20.1
4,20,20.1
4,20,20.1
4,25,25.14
4,25,25.14
4,25,25.14
4,25,25.14
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.13
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.11
4,25,25.11
4,25,25.11
4,25,25.11
4,25,25.11
4,25,25.1
4,25,25.1
4,25,25.1
4,25,25.1
4,25,25.1
4,25,25.11
4,25,25.11
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,25,25.12
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
4,30,30.09
